userId,movieId,rating,timestamp
1,2,3.5,1112486027
1,29,3.5,1112484676
1,32,3.5,1112484819
1,47,3.5,1112484727
1,50,3.5,1112484580
1,112,3.5,1094785740
1,151,4.0,1094785734
1,223,4.0,1112485573
1,253,4.0,1112484940
1,260,4.0,1112484826
1,293,4.0,1112484703
1,296,4.0,1112484767
1,318,4.0,1112484798
1,337,3.5,1094785709
1,367,3.5,1112485980
1,541,4.0,1112484603
1,589,3.5,1112485557
1,593,3.5,1112484661
1,653,3.0,1094785691
1,919,3.5,1094785621
1,924,3.5,1094785598
2,3,4.0,974820889
2,62,5.0,974820598
2,70,5.0,974820691
2,110,4.0,974820658
2,242,3.0,974820776
2,260,5.0,974821014
2,266,5.0,974820748
2,469,3.0,974820598
2,480,5.0,974820720
2,541,5.0,974821014
2,589,5.0,974820658
2,891,2.0,974820969
2,908,4.0,974820691
2,924,5.0,974821014
