710:0.6290972 -0.009714936 0.117594756 0.03735535 -0.16510038 -0.09140931 -0.81555104 1.0817187 1.568099 0.39429992
205:0.031967 -0.42823148 0.053608663 -0.79681987 -0.02603952 0.14966081 -0.38396505 0.4442321 0.53400654 -0.06965819
45:0.010248819 -0.2356007 0.016965635 -0.64909506 0.42046288 0.21197067 0.053120844 0.36869645 -0.24632466 0.31831622
515:0.044865604 0.02989319 0.16768155 -0.88652927 0.4710546 -0.21158895 -0.2788036 0.28702766 -0.38077092 -0.13020283
574:0.24483469 -0.25993028 -0.08808782 -0.5577446 -0.07654728 0.01801361 -0.42640987 0.50314623 0.15314703 0.00307075
858:-0.16927867 0.059332512 -0.47778395 0.26297486 -0.21263482 -0.27323964 0.07490593 0.21223767 -0.0028886772 -0.20703532
619:0.2407515 0.045159232 0.46779907 -0.58231145 -0.030787967 0.49220753 -0.50289536 0.78954124 1.0563349 0.4458106
507:0.4690759 -0.06466248 0.15240851 -0.18090583 0.06068824 0.24886689 0.101661496 0.32883975 -0.39539143 0.18813828
113:0.51816595 -0.2544922 -0.08403711 -0.4994717 0.21276431 -0.14321114 -0.38503796 0.34137446 0.64825875 0.1704114
34:0.027145758 -0.2847735 -0.42237213 -0.33288938 -0.23126441 -0.17470297 0.36611047 -0.20932263 -0.06493981 0.06783188
563:-0.005529923 -0.15066819 -0.17283523 -0.37853432 0.1593659 0.4016231 -0.24962766 0.701033 0.15098944 -0.1531367
381:0.08887731 0.39916328 0.19085379 -0.82932097 0.09317939 0.28070158 -0.28324175 0.10011106 -0.0838391 -0.0640234
455:-0.19713739 0.55349034 -0.01583823 -0.64745957 -0.1572791 0.6641442 0.042605728 0.34599957 0.12122504 0.5048213
67:0.32712293 0.08528579 0.059952762 -0.38222632 0.17264071 0.33561304 -0.5167782 0.79308516 0.83354974 0.2599452
388:-0.26065442 0.09504301 -0.034958225 -0.6900667 0.464316 -0.2909201 -0.37279794 0.34991378 -0.40086374 -0.22732522
169:-0.62083805 0.7367579 0.44795054 -0.50545543 -0.24691829 0.4331217 -0.043353997 0.4795515 0.42820233 0.55856633
444:-0.20876537 0.09390754 0.10121148 -0.23772314 0.030342326 0.035324723 -0.18276478 0.51337713 0.48271492 0.10108559
193:-0.28293157 -0.016055314 0.3937776 -0.274998 0.24117751 0.40182325 0.24650398 0.46662924 -0.4846629 0.3360079
713:0.123651244 -0.5962604 -0.25523436 -0.22307852 0.19238718 0.6140018 -1.1782367 0.46384442 1.0361404 -0.019924054
302:-0.16954453 -0.37682042 -0.5133756 -0.5354782 -0.18339543 -0.010685474 -0.42670593 0.24464805 0.42104614 -0.16429688
153:0.9544251 0.6575981 -0.26124525 -0.1387023 -0.30060738 0.7243292 0.4099388 -0.33826473 -0.33848515 -0.11044475
844:-0.06629268 -0.14739239 -0.12615885 -0.42528492 0.18899216 0.016308527 -0.9384675 0.9365965 0.5979253 0.26971483
335:0.25921917 -0.48749876 -0.12144065 -0.6080976 0.30145618 -0.20180184 -0.27801153 1.0307864 0.4073131 0.13249275
885:0.091648586 0.12533936 -0.11137242 -0.25121868 -0.30638254 0.0800507 -0.14007416 0.22618012 0.10681731 0.45558578
